   1.6384000e+04	   1.6380000e+04	   1.6384000e+04	
   1.6384000e+04	   1.6380000e+04	   1.6384000e+04	
   1.6384000e+04	   1.6380000e+04	   1.6062644e+04	
   1.6384000e+04	   1.6380000e+04	   1.1392564e+04	
   1.6384000e+04	   1.6380000e+04	   9.1024789e+03	
   1.6384000e+04	   1.6199189e+04	   6.6791478e+03	
   1.6384000e+04	   1.4289993e+04	   5.9003767e+03	
   1.5697482e+04	   9.6292000e+03	   3.9482567e+03	
   1.3973376e+04	   8.5537222e+03	   3.4876544e+03	
   1.0337569e+04	   6.3255800e+03	   2.5761067e+03	
   7.7467511e+03	   4.7133667e+03	   1.9335567e+03	
   7.0908211e+03	   4.3377556e+03	   1.7725200e+03	
   4.2163833e+03	   2.5703111e+03	   1.0414089e+03	
   4.1784156e+03	   2.5531356e+03	   1.0343822e+03	
   3.3630333e+03	   2.0614511e+03	   8.2996889e+02	
   2.2795511e+03	   1.4059956e+03	   5.7087333e+02	
   1.9326300e+03	   1.1784644e+03	   4.8000222e+02	
   1.7672889e+03	   1.0861200e+03	   4.4463111e+02	
   1.2473422e+03	   7.7086222e+02	   3.1798111e+02	
   9.0454889e+02	   5.4993556e+02	   2.2497222e+02	
   8.4595111e+02	   5.1018889e+02	   2.0443444e+02	
   5.8394889e+02	   3.5965556e+02	   1.4177667e+02	
   5.6982333e+02	   3.5295333e+02	   1.4054333e+02	
