Location	X	Y
MCC1	437	743
MCC2	713	755
MCC3	991	755
MCC4	1256	752
MCC5	1529	760
MCC6	1785	776
MCC7	418	1010
MCC8	704	1013
MCC9	971	1022
MCC10	1252	1028
MCC11	1529	1028
MCC12	1790	1035
MCC13	433	1277
MCC14	704	1289
MCC15	974	1290
MCC16	1255	1287
MCC17	1530	1293
MCC18	1778	1292
MCC19	416	1554
MCC20	698	1554
MCC21	928	1557
MCC22	1252	1559
MCC23	1526	1560
MCC24	1790	1560
