Location	X	Y
MCC1	480	743
MCC2	730	755
MCC3	1010	755
MCC4	1275	752
MCC5	1550	760
MCC6	1820	776
MCC7	470	1010
MCC8	750	1013
MCC9	1020	1022
MCC10	1300	1028
MCC11	1580	1028
MCC12	1810	1030
MCC13	483	1267
MCC14	754	1279
MCC15	1024	1280
MCC16	1305	1277
MCC17	1580	1283
MCC18	1828	1262
MCC19	466	1534
MCC20	748	1534
MCC21	965	1537
MCC22	1302	1539
MCC23	1576	1540
MCC24	1840	1540
