2.55E+03	9.64E+02	3.03E+02
7.42E+03	3.04E+03	1.02E+03
2.40E+03	1.96E+03	1.20E+03
1.61E+03	1.22E+03	2.82E+02
2.94E+03	1.91E+03	1.19E+03
2.97E+03	3.28E+03	1.33E+03
1.27E+04	3.48E+03	5.00E+02
1.93E+03	1.64E+03	1.51E+03
7.30E+03	1.59E+03	6.68E+02
1.51E+03	6.91E+02	4.62E+02
5.13E+03	3.82E+03	5.68E+02
1.03E+04	3.94E+03	4.54E+02
8.57E+02	8.42E+02	1.09E+03
2.66E+03	2.72E+03	6.42E+02
5.12E+03	6.72E+02	2.40E+02
1.14E+04	5.48E+03	6.26E+02
7.23E+03	1.80E+03	1.23E+03
1.92E+03	2.91E+03	1.97E+03
1.41E+04	8.58E+03	3.54E+03
8.25E+03	5.11E+03	2.11E+03
4.07E+03	2.52E+03	1.05E+03
2.57E+03	1.67E+03	7.05E+02
1.65E+03	1.06E+03	4.54E+02
6.43E+02	4.08E+02	1.69E+02
