0.000125	15.9	8.49	7.43	11
0.00015625	15.4	8.73	7.35	11
0.0002	15.6	9.95	7.59	11
0.00025	17.9	11.6	8.32	11
0.0003125	19	13.3	8.58	11
0.0004	22.1	16.2	9.44	11
0.0005	24.1	19.2	11.2	11
0.000625	30.6	25.4	13.8	11
0.0008	39.7	30.3	15.7	11
0.001	43.9	38.2	19.7	11
0.00125	55.8	48	24.3	11
0.0015625	72.9	61.4	31.9	11
0.002	82.1	72.3	36.1	11
0.0025	111	96.4	48.4	11
0.003125	134	118	57.2	11
0.004	181	154	77.5	11
0.005	234	198	100	11
0.00625	289	242	121	11
0.008	358	305	152	11
0.01	438	372	184	11
0.0125	565	473	236	11
0.016666667	709	592	297	11
0.02	894	749	378	11
0.025	1140	966	491	11
0.033333333	1420	1190	604	11
0.04	1760	1470	747	11
0.05	2230	1860	941	11
0.066666667	2880	2400	1220	11
0.076923077	3560	2990	1520	11
0.1	4540	3780	1920	11
0.125	5820	4830	2460	11
0.166666667	7050	5850	2990	11
0.2	9050	7520	3850	11
0.25	11400	9410	4830	11
0.333333333	14000	11600	5960	11
0.4	16400	14800	7660	11
0.5	16400	16400	9870	11
0.625	16400	16400	12300	11
0.769230769	16400	16400	15500	11
1	16400	16400	16400	11
1.3	16400	16400	16400	11
1.6	16400	16400	16400	11
2	16400	16400	16400	11
2.5	16400	16400	16400	11
3	16400	16400	16400	11
4	16400	16400	16400	11
5	16400	16400	16400	11
6	16400	16400	16400	11
8	16400	16400	16400	11
10	16400	16400	16400	11
13	16400	16400	16400	11
14	16400	16400	16400	11
20	16400	16400	16400	11
25	16400	16400	16400	11
30	16400	16400	16400	11
